"NBETABLISSEMENTS";"NBECRANS";"NBENTREES";"RECETTES";"TAUXOCCUPATION"
10;39;1221009;"7592665,9";"10,64338018"
2;11;518362;"3466442,6";"17,38431407"
1;14;499569;"3132757,36";"10,23365356"
2;8;178173;"1144778,35";"13,07121886"
4;22;997403;"6365765,91";"18,80265137"
6;20;538260;"3140891,22";"8,869984185"
3;26;621016;"4034193,55";"11,46504764"
2;12;471683;"3399011,55";"11,49710246"
19;103;4677991;"28033901,88";"16,26744581"
1;7;218743;"1365227,15";"15,84452385"
2;13;449661;"3156147,5";"14,45248859"
2;13;542813;"3445121,39";"9,67664935"
2;12;542433;"3621013,3";"20,3071038"
5;31;1128626;"6652336,96";"12,86730428"
2;12;400496;"2539577,75";"10,32574772"
5;27;1630047;"8234736,28";"18,05323713"
2;16;566065;"3632889,61";"12,631077"
1;5;188110;"1088224,1";"19,28188286"
2;9;266322;"1810204,9";"11,89816052"
4;4;64163;"554189";"6,72525132"
3;8;216782;"1271674,5";"11,01751208"
2;8;190712;"1227003";"15,78336685"
3;14;881002;"6277116,78";"18,54800797"
5;26;1336256;"9340242,23";"17,77561863"
2;13;500125;"3192816,35";"11,96280116"
9;22;949761;"6387424,2";"22,62914366"
2;5;71650;"405376,45";"13,27623841"
1;1;16817;"70906";"24,88826402"
1;6;215501;"1279333,9";"22,16190145"
12;45;2053366;"12713562,1";"16,35472125"
3;7;161771;"1090509";"17,47202139"
2;15;491632;"3624452,12";"11,54300923"
2;15;699101;"5270492,94";"13,39087449"
6;41;1413690;"8634727,4";"12,20205229"
8;42;1479917;"9418430,71";"11,63568727"
1;5;149952;"827945,9";"15,82436508"
5;21;632727;"3857333,4";"12,50452818"
1;6;256459;"1550173";"21,30327084"
1;10;552219;"3809482,44";"17,08961651"
2;22;911734;"5860144,13";"12,54989937"
45;156;7714976;"49291807,94";"17,18908962"
27;118;6273442;"45784614";"20,1991594"
3;11;294906;"1882522,9";"9,954817727"
1;7;254803;"1725283,55";"10,74108391"
1;3;72193;"414789";"18,38628179"
7;40;1743680;"10937909,21";"13,27055352"
1;9;304646;"2076406,8";"13,63653861"
2;13;444995;"3045751,7";"12,25597596"
2;14;503001;"2881728,15";"11,08362124"
4;15;259210;"1596226,85";"18,68756633"
1;5;169688;"1068614,3";"22,64290928"
6;50;2813142;"19266638,74";"15,24982374"
5;25;1033621;"6941685,43";"12,06006059"
7;28;1343241;"8726150,86";"13,50296841"
15;73;3875423;"21421702,67";"17,8308184"
2;10;403630;"2583340,79";"14,30934534"
3;11;365400;"2405002,87";"16,52456775"
6;19;1018908;"7767235,12";"19,51196532"
15;58;2637815;"18414659,03";"15,60346369"
1;8;294627;"2071422,7";"14,74292319"
5;25;920925;"5463701,2";"12,83001493"
2;11;561839;"3791423,4";"19,26844659"
4;13;336602;"2314732,05";"15,82116828"
1;9;440093;"2983333";"17,4451229"
5;24;861641;"5680785,43";"14,04097959"
6;27;1084526;"6702353,08";"14,7996958"
17;80;4931541;"31269624,53";"18,018707"
3;27;872236;"5797730,84";"13,53670979"
2;10;263248;"1850853,7";"17,05783899"
4;16;288662;"1895977,9";"16,22499675"
8;28;925230;"6698307,95";"15,12742876"
1;10;389590;"2607639,8";"11,51818684"
1;10;420490;"3058159,96";"17,10322622"
2;9;256339;"1482944,24";"13,45482298"
3;18;497968;"3054865,3";"7,369397159"
2;13;362216;"2039508";"12,041343"
6;33;1538363;"10100411,05";"17,27493477"
3;3;40031;"190581,2";"10,73810201"
2;18;665120;"4017502,35";"9,735021018"
3;9;220948;"1454296,1";"12,27688047"
2;15;352529;"2146350,7";"6,35088634"
4;9;150981;"719782,46";"14,51108315"
5;40;2395733;"14521309,6";"15,62215448"
1;11;361074;"2446740,65";"9,115281907"
4;14;740524;"5038340,27";"16,36171452"
5;9;271292;"1763117,1";"23,80629372"
20;53;2394845;"17233279,14";"19,86808233"
23;81;5270047;"31641679,81";"20,01619056"
10;35;1715263;"10469362,4";"15,55388081"
1;10;507162;"3413751,7";"16,83994873"
5;22;910533;"6192310,93";"17,42064757"
3;17;813758;"5619452,78";"13,56824154"
2;12;605593;"4096632,9";"19,31089659"
1;7;272309;"1729503";"21,42180043"
2;11;386990;"2503432,8";"17,89295115"
1;8;200741;"1190891,9";"14,70886499"
34;87;3806491;"26862804,61";"19,70934588"
3;21;1288977;"8830438,61";"21,68176091"
2;14;558859;"3528762,05";"10,94726767"
4;27;1333783;"8598148,55";"11,98664826"
278;951;56516878;"366291388,3";"18,25384287"
3;21;905579;"5661825,32";"12,43736366"
1;10;376335;"2584983,05";"12,46585706"
6;39;1402597;"8768438,9";"13,48790899"
5;23;868667;"5497066,2";"11,92761051"
3;13;440913;"2830412,2";"14,71305876"
2;13;345095;"2361205,55";"11,1450394"
8;27;1538986;"9263905,5";"18,8043823"
2;11;425897;"2841600,7";"14,64338012"
2;7;194949;"1232458,5";"39,48177374"
2;8;186985;"1203566,55";"19,39789096"
10;64;2718257;"15245587,16";"13,00290672"
2;15;600910;"3819735,1";"18,80288125"
5;5;38964;"195904,2";"9,251524944"
10;32;1179009;"7262525";"13,48654187"
2;5;156725;"827502";"18,72693859"
8;25;859111;"5382595,6";"14,23165141"
1;8;312910;"2120213,1";"14,37382605"
1;11;322367;"2247558,85";"9,721359839"
