numCommune;zoneCommune;nomCommune;numAgglomeration
75108;C;Paris 8e Arrondissement;851
75109;C;Paris 9e Arrondissement;851
75106;C;Paris 6e Arrondissement;851
75110;C;Paris 10e Arrondissement;851
75101;C;Paris 1er Arrondissement;851
75115;C;Paris 15e Arrondissement;851
75105;C;Paris 5e Arrondissement;851
75113;C;Paris 13e Arrondissement;851
75119;C;Paris 19e Arrondissement;851
43040;C;Brioude;43202
63047;C;La Bourboule;63102
73024;R;Les Avanchers-Valmorel;0
73011;C;Albertville;73401
73057;R;Brides-les-Bains;0
69019;C;Belleville;451
69029;B;Bron;758
21054;I;Beaune;21401
35001;I;Acigné;35206
35047;B;Bruz;35701
35049;I;Cancale;35203
34003;I;Agde;34401
13001;B;Aix-en-Provence;759
13005;B;Aubagne;759
13119;I;Carnoux-en-Provence;13209
13021;B;Carry-le-Rouet;13303
29006;B;Bénodet;29402
29019;C;Brest;29701
29022;I;Camaret-sur-Mer;29104
29023;C;Carantec;29124
81004;C;Albi;81502
81060;C;Carmaux;81304
56007;C;Auray;56401
80021;C;Amiens;80601
64024;C;Anglet;751
36018;I;Le Blanc;36201
36031;I;Buzançais;36109
16015;C;Angoulême;16601
16028;I;Barbezieux-Saint-Hilaire;16107
45008;R;Artenay;0
66008;C;Argelès-sur-Mer;66401
66037;I;Canet-en-Roussillon;66301
18033;C;Bourges;18501
62041;C;Arras;62502
62048;B;Auchel;752
57032;B;Ars-sur-Moselle;57701
68063;C;Cernay;68402
93005;B;Aulnay-sous-Bois;851
93007;B;Le Blanc-Mesnil;851
93010;B;Bondy;851
52060;I;Bourbonne-les-Bains;52101
31033;I;Auterive;31208
31069;B;Blagnac;31701
88029;R;La Vôge-les-Bains;0
88075;C;La Bresse;88402
84007;C;Avignon;754
54079;B;Blénod-lès-Pont-à-Mousson;54404
50025;C;Avranches;50301
83009;B;Bandol;757
59136;C;Le Cateau-Cambrésis;59208
30029;R;Barjac;0
82013;I;Beaumont-de-Lomagne;82103
49023;I;Beaupréau-en-Mauges;49206
87011;C;Bellac;87202
78073;B;Bois-d'Arcy;851
91097;B;Boussy-Saint-Antoine;851
91103;B;Brétigny-sur-Orge;851
44012;B;La Bernerie-en-Retz;44304
44020;B;Bouguenais;44701
44026;B;Carquefou;44701
33051;C;Biganos;33304
33097;R;Carcans;0
94004;B;Boissy-Saint-Léger;851
95127;B;Cergy;851
76114;C;Bolbec;76302
40065;C;Capbreton;40301
47057;R;Castillonnès;0
53039;R;Le Bourgneuf-la-Forêt;0
19031;C;Brive-la-Gaillarde;554
46040;R;Cabrerets;0
46042;C;Cahors;46401
6026;B;Cabris;6701
6029;B;Cannes;6701
6033;B;Carros;6701
12052;B;Capdenac-Gare;364
65127;R;Capvern;0
35051;B;Cesson-Sévigné;35701
85152;C;Les Achards;85125
69270;B;Chaponnay;758
69044;B;Charbonnières-les-Bains;758
42052;C;Charlieu;42204
25125;R;Charmoille;0
71106;I;Charolles;71105
85059;C;La Châtaigneraie;85123
44036;I;Châteaubriant;44302
58062;I;Château-Chinon (Ville);58101
36044;C;Châteauroux;36501
2168;C;Château-Thierry;2401
74063;C;Châtel;74108
92019;B;Châtenay-Malabry;851
35072;R;Châtillon-en-Vendelais;0
1093;I;Châtillon-sur-Chalaronne;1124
2173;C;Chauny;2303
92023;B;Clamart;851
58079;C;Clamecy;58107
16102;C;Cognac;16401
92025;B;Colombes;851
31149;B;Colomiers;31701
77122;B;Combs-la-Ville;851
78172;B;Conflans-Sainte-Honorine;851
16106;I;Confolens;16102
62239;B;Coquelles;62504
58086;C;Cosne-Cours-sur-Loire;58301
17121;C;La Couarde-sur-Mer;17118
60164;R;Le Coudray-Saint-Germer;0
77131;C;Coulommiers;77402
63124;B;Cournon-d'Auvergne;63701
69069;B;Craponne;758
80222;R;Crécy-en-Ponthieu;0
60176;I;Crépy-en-Valois;60303
34090;B;Le Crès;34701
94028;B;Créteil;851
58095;C;Decize;58201
26113;I;Die;26110
4070;C;Digne-les-Bains;4301
21231;C;Dijon;21701
60200;R;Domfront;0
95199;B;Domont;851
80253;C;Doullens;80204
14228;C;Douvres-la-Délivrande;14302
93029;B;Drancy;851
28134;C;Dreux;28401
30106;R;Durfort-et-Saint-Martin-de-Sossenac;0
66065;C;Elne;66401
88160;C;Épinal;88501
93031;B;Épinay-sur-Seine;851
12096;C;Espalion;12201
91223;C;Étampes;91401
91228;B;Évry;851
87064;R;Eymoutiers;0
33162;B;Eysines;33701
56057;I;Le Faouët;56109
83055;C;Fayence;83301
2307;I;La Ferté-Milon;2107
42095;B;Firminy;753
83057;I;Flassans-sur-Issole;83108
77186;C;Fontainebleau;77406
57240;C;Freyming-Merlebach;57501
93032;B;Gagny;851
81099;C;Gaillac;81303
34111;C;Ganges;34209
5061;C;Gap;5401
16146;R;Garat;0
92033;B;Garches;851
13041;B;Gardanne;759
88196;C;Gérardmer;88301
74134;R;Les Gets;0
1173;C;Gex;1301
8190;C;Givet;8206
76305;B;Gonfreville-l'Orcher;76701
46128;I;Gramat;46103
59271;B;Grande-Synthe;59602
6069;B;Grasse;6701
59273;B;Gravelines;59602
70279;C;Gray;70301
38185;C;Grenoble;38701
56069;R;Groix;0
44067;I;Guémené-Penfao;44122
35125;C;La Guerche-de-Bretagne;35204
35176;B;Guipry-Messac;35207
62413;B;Harnes;756
76351;C;Le Havre;76701
14333;C;Honfleur;363
33203;I;Hourtin;33103
95313;B;L' Isle-Adam;851
31239;R;L' Isle-en-Dodon;0
6073;R;Isola;0
63178;C;Issoire;63304
92040;B;Issy-les-Moulineaux;851
94041;B;Ivry-sur-Seine;851
56091;I;Josselin;56106
84058;R;Lacoste;0
22093;I;Lamballe;22301
29103;C;Landerneau;29308
5070;C;Laragne-Montéglin;5104
6075;I;Levens;6108
59350;C;Lille;59702
76384;C;Lillebonne;76402
14366;C;Lisieux;14401
39300;C;Lons-le-Saunier;39401
83072;C;Lorgues;83303
22136;I;Loudéac;22205
65282;R;Loudenvielle;0
71263;C;Louhans;71301
83073;C;Le Luc;83307
14384;C;Luc-sur-Mer;14302
70310;C;Lure;70302
69123;C;Lyon;758
44087;I;Machecoul-Saint-Même;44202
92046;B;Malakoff;851
72181;C;Le Mans;72701
78361;B;Mantes-la-Jolie;851
91363;B;Marcoussis;851
13055;C;Marseille;759
91377;B;Massy;851
35168;R;Val d'Anast;0
66107;R;Maury;0
32249;R;Mauvezin;0
77284;C;Meaux;77501
79174;C;Melle;79203
80533;B;Mers-les-Bains;453
60395;I;Méru;60302
95394;B;Méry-sur-Oise;851
74010;C;Annecy;74601
12145;C;Millau;12401
32256;C;Mirande;32105
29150;I;Moëlan-sur-Mer;29206
24294;C;Montpon-Ménestérol;354
47179;B;Monsempron-Libos;47302
77298;R;Mons-en-Montois;0
85146;C;Montaigu;85302
45208;C;Montargis;45501
25388;C;Montbéliard;25601
63236;R;Mont-Dore;0
26198;C;Montélimar;551
17240;C;Montendre;17112
35188;I;Montfort-sur-Meu;35208
1262;B;Montluel;758
86165;I;Montmorillon;86202
34172;C;Montpellier;34701
81182;R;Montredon-Labessonnié;0
62588;C;Montreuil;62201
41151;C;Montrichard Val de Cher;41204
76451;B;Mont-Saint-Aignan;755
6084;B;Mouans-Sartoux;6701
8311;I;Mouzon;8102
40201;R;Mugron;0
68224;C;Mulhouse;68701
12164;R;Mur-de-Barrez;0
44109;C;Nantes;44701
11262;I;Narbonne;11502
47195;C;Nérac;47301
6088;C;Nice;6701
30189;C;Nîmes;30601
28280;C;Nogent-le-Rotrou;28301
94052;B;Nogent-sur-Marne;851
10268;I;Nogent-sur-Seine;10202
85163;I;Noirmoutier-en-l'Île;85131
93051;B;Noisy-le-Grand;851
