annee;numAgglomeration;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationAgglomeration
2010;47501;2;9;1507;1;13537;266322;1810204,9;11,89816052;1;1;127;988;28067;109489;22,36842105;10706072
2011;47501;2;9;1507;1;13880;272557;1816737,2;11,76472366;1;1;127;1013;29897;121871,5;23,23883996;10706072
2012;47501;2;9;1507;1;13892;261552;1722555;11,3184522;1;1;127;1045;26999;113596,5;20,34359341;10706072
2013;47501;2;12;1883;1;13918;250265;1642221,9;10,38843572;1;2;288;1240;30267;134973;13,22372905;10706072
2014;47501;2;12;1883;1;20777;385389;2500926,85;11,99554403;1;2;288;2539;56822;276055;15,55122528;10706072
2015;47501;2;12;1883;1;20828;386286;2632089,8;11,97005488;1;2;288;2571;47364;234174,4;12,86205417;10706072
2016;47501;2;12;1883;1;20561;379646;2595666,15;12,00417249;1;2;288;2647;57766;287748,2;15,23405153;10706072
2017;47501;2;12;1883;1;19940;377134;2622638,1;12,30170548;2;12;1883;19940;377134;2622638,1;12,30170548;10706072
2018;47501;2;12;1883;1;22839;372291;2547947,6;10,47711274;1;2;288;2566;65876;315815,25;18,09859774;10706072
2019;47501;2;12;1883;1;22310;389814;2672099,33;11,40401894;1;2;288;2631;64565;319561,7;17,22789978;10706072
2020;47501;2;12;1883;1;11168;111110;736172,34;6,371954454;1;2;288;1183;24466;120981,1;14,3814439;10706072
2010;2A501;4;4;2279;;1297;64163;554189;6,72525132;;;;;;;;10706072
2011;2A501;5;5;2574;;1366;62884;525414;6,379402172;;;;;;;;10706072
2012;2A501;5;5;2574;;1402;65459;514220,5;6,800454617;;;;;;;;10706072
2013;2A501;6;6;3006;;1451;62036;453898,5;6,350896339;;;;;;;;10706072
2014;2A501;7;12;4153;;2256;101799;764617,44;8,86123329;;;;;;;;10706072
2015;2A501;7;12;4153;;10566;338094;2260517,32;13,18623459;;;;;;;;10706072
2016;2A501;7;12;4153;;10391;380992;2572383,76;17,35009725;;;;;;;;7392
2017;2A501;6;11;3053;;10165;383500;2545169,1;19,06824642;1;6;1147;9810;366309;2467066,6;19,48036616;2267
2018;2A501;5;10;2625;;10301;357394;2338692,9;17,79972926;1;6;1147;10097;343793;2279244,9;17,74442043;14541106
2019;2A501;5;10;2625;;10360;362715;2333934;17,96985232;1;6;1147;10165;347942;2269668,5;17,84500974;40293
2020;2A501;3;8;1761;;5052;96619;612815;9,927408541;1;6;1147;5000;92569;595028;9,672558872;40293
2010;81502;3;8;1456;;10772;216782;1271674,5;11,01751208;2;4;609;5124;113709;638666,3;14,56543487;14541106
2011;81502;3;8;1456;;10538;234823;1404017,75;12,04330447;2;4;609;4800;121790;703053,85;16,47028276;23718
2012;81502;3;8;1456;;10711;217394;1310844,9;11,02226468;2;4;609;4949;88517;497986,4;11,61474277;1639558
2013;81502;3;12;2142;1;10935;213878;1273686,2;10,87746262;2;4;609;5005;89531;498151,2;11,63772541;21661
2014;81502;3;12;2142;1;16801;328794;1996933,3;10,81615426;2;4;609;4014;52649;245651,7;8,539969927;6521
2015;81502;3;12;2142;1;18297;316061;2015869;9,46473763;2;4;609;3758;54171;264049,1;9,377823942;330871
2016;81502;3;12;2142;1;18457;324650;2085186,6;9,665188234;2;4;609;3879;69013;337881,5;11,60165082;5166
2017;81502;3;12;2142;1;17228;307027;1997246,5;9,752914022;2;4;609;2606;47216;209075;11,88015177;26946
2018;81502;3;12;2142;1;17761;279144;1864818,76;8,437233072;2;4;609;1805;37479;167303,51;13,78796574;1585498
2019;81502;3;12;2142;1;19338;301100;2033061,44;8,610188103;2;9;1675;16481;265179;1825324,83;8,68905466;1585498
2020;81502;3;12;2142;1;9430;86324;553937,25;5,02165167;2;4;609;1759;23055;109280,95;8,560829979;6615
2010;30501;2;8;973;;10031;190712;1227003;15,78336685;2;8;973;10031;190712;1227003;15,78336685;13515
2011;30501;2;8;973;;10139;198377;1292476,25;16,14029692;2;8;973;10139;198377;1292476,25;16,14029692;23955
2012;30501;2;8;973;;10154;184543;1209144,15;15,01740229;2;8;973;10154;184543;1209144,15;15,01740229;200530
2013;30501;2;8;973;;10864;176436;1127005,15;13,42790822;2;8;973;10864;176436;1127005,15;13,42790822;2583
2014;30501;2;8;973;;12389;193054;1206057,45;13,08728881;2;8;973;12389;193054;1206057,45;13,08728881;4470
2015;30501;1;8;1312;1;9768;186368;1217815,25;11,42488625;1;8;1312;9768;186368;1217815,25;11,42488625;74751
2016;30501;1;8;1312;1;13382;286845;2101020,5;13,32704254;1;8;1312;13382;286845;2101020,5;13,32704254;16697
2017;30501;1;8;1309;1;13276;293757;2183510,63;13,86173888;1;8;1309;13276;293757;2183510,63;13,86173888;28513
2018;30501;1;8;1309;1;13634;289875;2187808,2;13,24999909;1;8;1309;13634;289875;2187808,2;13,24999909;162637
2019;30501;1;8;1309;1;13679;316275;2328973,04;14,57475046;1;8;1309;13679;316275;2328973,04;14,57475046;236730
2020;30501;1;8;1309;1;6713;86008;618800,2;8,160616354;1;8;1309;6713;86008;618800,2;8,160616354;6572
2010;80601;3;14;3124;1;21711;881002;6277116,78;18,54800797;2;2;442;2625;65281;261983,6;10,90612324;4473
2011;80601;3;14;3124;1;26054;940451;6667461,41;16,36132347;2;2;442;2602;69846;291140,25;11,76674731;109054
2012;80601;3;14;3124;1;26759;899910;6425232,52;15,46811719;2;2;442;2680;66775;281080,65;10,90364298;109054
2013;80601;3;14;3124;1;25922;824714;5892710,98;14,53224652;2;2;442;2631;64479;266605,51;10,76016541;109054
2014;80601;3;14;3124;1;26412;926071;6584926,21;15,92723908;2;2;442;2643;71472;302370,4;11,83695371;4687
2015;80601;3;14;3124;1;26023;905544;6485002,73;15,87826565;2;2;442;2614;69355;291812,13;11,60636589;14541106
2016;80601;3;14;3124;1;25500;907129;6540700,53;16,17652697;2;2;442;2581;75225;321028,72;12,78927826;53068
2017;80601;3;14;3124;1;25948;855974;6244906,46;15,19449275;2;2;442;2579;77793;323724,36;13,26411954;11965
2018;80601;3;14;3124;1;26456;824772;5902224,66;14,23782498;2;2;442;2546;73324;309179,33;12,61570649;82558
2019;80601;3;14;3111;1;24034;830454;6338957,25;15,58610179;2;2;429;2481;75241;339020,45;13,59647696;86845
2020;80601;3;14;3111;1;11755;265173;1933297,93;10,15423603;2;2;429;1426;35961;166072,35;11,44052429;355543
2010;49701;5;26;5287;1;38262;1336256;9340242,23;17,77561863;1;7;886;11987;312932;1560727,8;20,68588955;285268
2011;49701;5;26;5287;1;39188;1372718;9445538,13;17,73099233;1;7;886;12267;331628;1675534,7;21,33782531;31817
2012;49701;5;26;5287;1;39861;1304018;9092161,99;16,63810541;1;7;886;12588;308255;1555369,7;19,29280273;10706072
2013;49701;4;25;5195;1;38808;1217199;8465123,6;16,28813755;1;7;886;12586;318033;1626561,95;20,1526883;10706072
2014;49701;2;19;3408;1;35296;1267469;8694083,05;19,827609;1;7;886;12328;309259;1565751,4;19,91247138;10706072
2015;49701;3;25;4597;1;37798;1261373;8778318,8;18,61788678;1;7;886;12668;302948;1548864,1;18,97044799;10706072
2016;49701;3;25;4597;1;45890;1380050;9338656,44;16,42358265;1;7;886;12404;317854;1644962,73;20,43015591;2118
2017;49701;3;25;4522;1;45127;1394828;9217922,59;17,37725133;1;7;811;12577;308290;1575287,11;21,47545255;9417
2018;49701;3;25;4522;1;44627;1333614;9047654,33;16,74292931;1;7;811;12504;304002;1561285,45;21,26450209;948433
2019;49701;3;25;4522;1;44996;1413767;10020674,54;17,61586646;1;7;811;12356;339013;1772384,9;24,10179811;14541106
2020;49701;3;25;4522;1;21874;472087;3232266,42;12,21697173;1;7;811;6331;137014;718587,8;18,93810912;24384
2010;16601;2;13;2170;1;24889;500125;3192816,35;11,96280116;1;2;294;2123;46108;183404,5;13,94208236;456042
2011;16601;2;13;2170;1;24351;509615;3311629,3;12,49234266;1;2;294;2202;47114;196265,4;13,50381491;24248
2012;16601;2;13;2170;1;25117;479268;3105262,25;11,57676782;1;2;294;2431;45599;184666,1;12,66121889;15372
2013;16601;2;13;2170;1;25227;434497;2815904,55;10,43674162;1;2;294;2648;47239;199206,5;12,15820413;569793
2014;16601;2;13;2170;1;24931;472912;3087402,55;11,42144472;1;2;294;2572;51582;223825,1;13,62354209;7355
2015;16601;2;13;2170;1;24683;464741;3098294,65;11,38892987;1;2;294;2528;47051;195241,7;12,76007767;14541106
2016;16601;2;13;2170;1;24787;373890;2394338,09;9,181230401;1;2;294;2466;51581;207501,9;14,71128452;3744
2017;16601;2;13;2170;1;24872;332642;2177035,2;8,123185274;1;2;294;2492;47874;192859,3;13,00485706;22965
2018;16601;2;13;2170;1;25040;306752;1954707,79;7,436718604;1;2;294;2793;44688;182080,9;11,04168057;5191
2019;16601;2;13;2170;1;24574;320458;2032778,39;7,973101376;1;2;294;2882;50554;215774,6;11,94299943;10706072
2020;16601;3;14;2342;1;12684;96024;603784,32;4,572044555;1;2;294;1442;19882;87830,7;9,284840334;10706072
2010;74601;9;22;4538;1;25121;949761;6387424,2;22,62914366;6;9;1419;8943;237650;1225931;18,66744379;10706072
2011;74601;9;22;4538;1;25607;939677;6318415,6;21,70220894;5;8;1132;8404;257612;1369795,5;23,598298;19312
2012;74601;9;22;4538;1;25780;918939;6216233,65;21,32365328;6;9;1224;9120;260897;1359223,65;21,73815594;633690
2013;74601;9;22;4538;1;26564;886257;6095772,19;20,00325015;6;9;1224;9209;253507;1345801,6;20,81312628;633690
2014;74601;9;21;4250;1;26916;964901;6595965,56;21,42488553;6;9;1224;9006;268119;1434993,71;22,50574145;17668
2015;74601;9;21;4200;1;27247;909254;6441340,2;20,25069549;6;9;1174;9403;259863;1383271,4;21,55723643;14541106
2016;74601;9;21;4200;1;27911;928171;6627841,3;20,17223217;6;9;1174;9411;298148;1624467,8;25,32061816;10706072
2017;74601;9;22;4488;1;28933;909553;6583345,95;19,07269134;6;9;1174;9460;276184;1496638,03;23,05196675;10706072
2018;74601;9;22;4488;1;28940;885826;6340922,31;18,46010791;7;10;1461;10202;302632;1616691,08;21,72663234;18045
2019;74601;9;22;4488;1;29628;948574;6978391,92;19,46901856;7;10;1461;10328;317378;1727003,54;22,8187987;12599
2020;74601;8;20;3300;1;14578;298484;2108965,57;12,39838285;7;10;1461;5529;118338;628620,74;15,44404669;14541106
2010;552;2;5;684;;3741;71650;405376,45;13,27623841;1;3;297;1951;26120;150412,5;13,49577869;14541106
2011;552;2;6;780;;3180;69678;414019,8;15,14683153;;;;;;;;75329
2012;552;2;6;780;;6879;93951;613614,7;10,75624961;1;3;297;3777;33322;197457,5;8,8522282;14541106
2013;552;2;6;780;;7519;94387;608564,45;10,0231818;1;3;297;4291;32644;193804,5;7,693032814;22764
2014;552;2;6;780;;7669;106903;650756;11,01366109;1;3;297;4172;36026;209934,5;8,814174708;943354
2015;552;2;6;714;;8040;112153;690065,27;12,33537689;1;3;231;4547;39384;231654,6;11,29967493;943354
2016;552;2;6;780;;7964;122154;742661,63;12,18503489;1;3;297;4488;55129;319985,1;12,3903213;943354
2017;552;2;6;714;;8018;121540;737455,77;13,35648428;1;3;231;4508;55252;320120,5;15,94763017;16530
2018;552;2;6;714;;8014;117409;710598,32;12,88932606;1;3;231;4494;53188;308342,5;15,38261315;14541106
2019;552;2;6;714;;8190;122499;742444,91;13,20228655;1;3;231;4632;55594;326361,7;15,61519556;330871
2020;552;2;6;714;;4355;38310;226830,01;7,839919125;1;3;231;2520;22579;131619,4;11,64892766;4925
2010;59501;1;1;145;;466;16817;70906;24,88826402;1;1;145;466;16817;70906;24,88826402;1639558
2011;59501;1;1;145;;625;21975;94375,1;24,24827586;1;1;145;625;21975;94375,1;24,24827586;1639558
2012;59501;1;1;145;;673;17441;73524,6;17,87262387;1;1;145;673;17441;73524,6;17,87262387;9321
2013;59501;1;1;145;;679;18206;75318,7;18,49169671;1;1;145;679;18206;75318,7;18,49169671;14541106
2014;59501;2;6;865;;5234;75320;364924,85;10,03969492;1;1;145;691;21224;91093,7;21,18269375;2758
2015;59501;2;6;865;;9236;143670;743114,29;10,87348926;1;1;145;678;18428;79515,9;18,7447869;3843
2016;59501;2;6;865;;9098;158547;809100,06;12,23067702;2;6;865;9098;158547;809100,06;12,23067702;12067
2017;59501;2;6;865;;10221;176503;896367,23;12,12698142;2;6;865;10221;176503;896367,23;12,12698142;2071
2018;59501;2;6;865;;10305;175270;924713,18;11,92193706;2;6;865;10305;175270;924713,18;11,92193706;60779
2019;59501;2;6;865;;10279;183175;985282,33;12,46696518;2;6;865;10279;183175;985282,33;12,46696518;21591
2020;59501;2;6;865;;5311;60345;336256,74;7,901528454;2;6;865;5311;60345;336256,74;7,901528454;3487
2010;62502;1;6;679;;8616;215501;1279333,9;22,16190145;1;6;679;8616;215501;1279333,9;22,16190145;10706072
2011;62502;1;6;679;;8739;250331;1474653,38;25,42381316;1;6;679;8739;250331;1474653,38;25,42381316;14541106
2012;62502;1;6;679;;8867;237750;1399543,2;23,87589955;1;6;679;8867;237750;1399543,2;23,87589955;4914
2013;62502;1;6;679;;8900;221723;1294139,9;22,1043953;1;6;679;8900;221723;1294139,9;22,1043953;17550
2014;62502;1;6;679;;9012;266660;1547490,7;26,28730508;1;6;679;9012;266660;1547490,7;26,28730508;10706072
2015;62502;2;7;1303;;9011;263223;1568200,2;25,55667318;1;6;679;8983;253651;1521434,9;25,05229702;4165
2016;62502;2;7;1303;;9255;266588;1562281,1;25,38082471;1;6;679;9236;259386;1527386,6;24,97708224;26408
2017;62502;2;7;1303;;9199;275026;1592793;26,12557328;1;6;679;9170;265171;1546703;25,62999463;10706072
2018;62502;2;7;1303;;9243;277916;1597628;26,36051405;1;6;679;9212;267167;1546050,5;25,81460851;948433
2019;62502;2;7;679;;9839;285949;1668307,03;26,06780845;1;6;679;9765;265918;1577118,46;24,24173362;10706072
2020;62502;2;7;1609;;5754;78772;483446,24;12,14412242;1;6;679;5753;78772;483446,24;12,16155921;10706072
2010;754;12;45;8485;2;66645;2053366;12713562,1;16,35472125;5;15;1928;22461;579748;2837336,6;20,30319543;2711
2011;754;13;46;8577;2;67146;2129640;13068864,51;16,8349644;5;15;1928;22474;589735;2932310,75;20,60750982;100640
2012;754;13;48;8817;2;69463;2018677;12578832,32;15,76489384;5;15;1928;23335;547525;2730050,45;18,44193481;11508
