annee;numCommune;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbCinemasAE;RME;indiceFrequentation;populationCommune
1960;13001;;9;5336;;;796576;247477,1974;;;0,310676191;11,72418056;36694
1961;13001;;8;5216;;;766178;244009,2872;;;0,318475977;11,27677612;59408
1962;13001;;8;5495;;;742410;293583,2684;;;0,395446274;10,92695348;59408
1963;13001;;7;4765;;;732393;324751,9273;;;0,443412113;10,77952107;42428
1964;13001;;7;4765;;;659742;336139,7165;;;0,50950177;9,710227691;42428
1965;13001;;8;4943;;;633676;355355,6102;;;0,560784392;9,326582577;42428
1966;13001;;8;4943;;;650039;374607,4819;;;0,576284626;7,257653574;91770
1967;13001;;9;5140;;;692927;444396,8126;;;0,641332799;7,736495992;16545
1968;13001;;9;5131;;;722670;461149,2827;;;0,638118758;8,068575129;234994
1969;13001;;9;5131;;;748153;507190,2579;;;0,677923176;8,353091575;42428
1970;13001;;12;5625;;;786242;624361,353;;;0,79410837;8,778353393;42428
1971;13001;;15;5985;;;867653;725913,5888;;;0,836640441;7,840781138;59333
1972;13001;;15;5985;;;877630;780358,0113;;;0,889165151;7,930940999;59333
1973;13001;;16;6045;;;845986;831472,0325;;;0,982843726;7,644981429;36694
1974;13001;;20;5978;;;808771;871367,0256;;;1,077396476;7,308678011;183216
1975;13001;;20;5828;;;840642;1104909,316;;;1,314363684;7,596688927;183216
1976;13001;;17;5476;;;945224;1483762,655;;;1,569747124;8,541772472;185654
1977;13001;;17;5476;;;903821;1533303,25;;;1,696467829;8,167623058;6743
1978;13001;;16;5226;;;947915;1788968,332;;;1,887266613;7,81289408;1786
1979;13001;;14;4130;;;919653;1876332,443;;;2,040261319;7,579953349;766
1980;13001;;19;4904;;;1056248;2314849,297;;;2,191577448;8,705795083;18969
1981;13001;;18;3771;;;1244860;3218492,676;;;2,58542541;10,26037073;18969
1982;13001;;18;3752;;;1367008;3974532,629;;;2,907468449;11,26713757;517
1983;13001;;18;3753;;;1385237;4386974,299;;;3,166948543;11,41738442;8293
1984;13001;;18;3752;;;1324295;4443382,569;;;3,355281542;10,91508897;40694
1985;13001;;18;3752;;;1171701;4192114,117;;;3,577801945;9,657380468;21661
1986;13001;;18;3752;;;1182247;5030286,096;;;4,254852071;9,546413979;6521
1987;13001;;18;3631;;;1008872;4527917,482;;;4,488099067;8,146444663;17978
1988;13001;;18;3631;;;959438;4513749,633;;;4,704576672;7,747274753;5166
1989;13001;;18;3631;;;1034945;5179797,51;;;5,004901236;8,356979054;26946
1990;13001;;17;3453;;;1096056;5602616,891;;;5,111615548;8,850438462;142668
1991;13001;;16;2972;;;1020279;5534132,088;;;5,424136033;8,238553964;45410
1992;13001;5;17;3079;;22674;1110762;6234524,367;26,7077058;;5,612835483;8,969186544;6615
1993;13001;5;17;3079;;22565;1202775;6799691,901;28,71171294;;5,653336576;9,712173576;5891
1994;13001;5;17;3079;;24984;1113773;6578927,277;24,68739367;;5,906883429;8,993499782;3505
1995;13001;5;17;2968;;24544;1154030;6839195,557;26,60848613;;5,92635855;8,597919864;139163
1996;13001;5;17;2968;1;23164;1083075;6443664,752;26,74993066;;5,94941694;8,069280744;2583
1997;13001;4;16;2874;1;23480;1093514;6382486,962;25,76605616;;5,836676039;8,147054879;3149
1998;13001;4;16;2859;1;22684;981912;5698058,409;24,37130907;;5,803023498;7,315581648;49475
1999;13001;4;16;2859;1;24512;886099;5036378,604;20,38118213;;5,683765137;6,60174189;9460
2000;13001;4;16;2752;1;25951;900642;5209344,972;20,48809717;;5,784035135;6,710092235;13746
2001;13001;4;16;2741;1;26875;996079;6059808,189;21,79281577;;6,083662228;7,421130664;132874
2002;13001;4;16;2741;1;26301;996544;6143777,62;22,34128579;3;6,165084151;7,424595074;38724
2003;13001;4;16;2741;1;27033;961236;6053149,1;20,78312608;3;6,297255929;6,774276754;6572
2004;13001;4;16;2741;1;26842;1021393;6476353,66;22,38923293;2;6,340706917;7,198231086;4473
2005;13001;4;16;2676;1;26949;944198;5983515,17;21,17857375;3;6,337140271;6,654202051;42081
2006;13001;4;16;2676;1;26720;991237;6431572,78;22,14586592;3;6,4884309;7,022678323;42081
2007;13001;4;16;2676;1;26657;886467;5867579,4;19,87481873;3;6,619061285;6,262792751;42081
2008;13001;4;16;2676;1;28129;941689;6277997,9;20,18132328;3;6,666742311;6,600562144;4687
2009;13001;4;16;2676;1;26556;968119;6764021,3;22,04415256;3;6,9867664;6,785817422;1832
2010;13001;4;16;2676;1;26769;989146;7220046,9;22,69290886;3;7,299273211;6,933201559;10383
2011;13001;4;16;2676;1;27522;983449;7304382,5;21,56678363;3;7,42731194;6,893269689;11965
2012;13001;4;16;2676;1;27415;947280;7065998,25;21,0170907;3;7,459249905;6,63975103;66071
2013;13001;4;16;2676;1;27208;893172;6733650,6;19,90658411;3;7,539030108;6,260492893;40721
2014;13001;4;16;2676;1;27523;902064;6649971,65;19,75264956;3;7,371951048;6,322819413;10574
2015;13001;4;16;2676;1;27864;846507;6299960,1;18,28787579;3;7,442301245;5,933404828;4720
2016;13001;4;16;2676;1;27400;891440;6604356,21;19,61175139;3;7,408637945;6,248352819;11608
2017;13001;4;16;2676;1;27397;847157;6332571,29;18,78800984;3;7,475085834;5,93796086;83584
2018;13001;4;16;2676;1;27409;834431;6142110,61;18,4574776;3;7,360837037;5,848760759;83584
2019;13001;4;16;2676;1;27018;866526;6429026,43;19,32229717;3;7,419311631;6,07372361;55297
2020;13001;4;16;2573;1;13573;274895;1988756,83;12,81528912;3;7,234605322;1,926816105;53439
1960;2A004;;4;2855;;;647141;183888,4256;;;0,284155116;19,23610368;2118
1961;2A004;;4;2855;;;600671;181586,4455;;;0,302305997;17,8547946;9417
1962;2A004;;4;2855;;;555890;192124,7887;;;0,345616558;16,52369062;23759
1963;2A004;;4;2855;;;492422;192215,6483;;;0,390347402;14,63712027;1700
1964;2A004;;4;2855;;;461209;194760,4797;;;0,422282479;13,70932168;4243
1965;2A004;;4;2855;;;476115;209085,809;;;0,439149804;14,15239879;92130
1966;2A004;;4;2855;;;437614;192661,7141;;;0,440254914;10,07445094;4563
1967;2A004;;4;2855;;;370541;177146,2154;;;0,478074533;8,530342097;7766
1968;2A004;;4;2905;;;349945;174132,7557;;;0,497600353;8,056195037;8122
1969;2A004;;4;2905;;;308188;194262,4288;;;0,63033742;7,094893872;7033
1970;2A004;;4;2915;;;285655;208735,4811;;;0,73072581;6,576154519;1576
1971;2A004;;4;2915;;;264414;207652,1784;;;0,785329742;5,389055335;3744
1972;2A004;;4;2915;;;273930;221921,254;;;0,810138554;5,58300214;22965
1973;2A004;;3;2220;;;262594;242644,8685;;;0,924030513;5,351961683;4107
1974;2A004;;3;2220;;;256604;279442,4025;;;1,089002519;5,229878732;14299
1975;2A004;;3;2220;;;256444;317823,4244;;;1,239348257;5,226617752;7027
1976;2A004;;3;2220;;;247751;355966,1685;;;1,436790037;5,049444614;26215
1977;2A004;;3;2220;;;247072;381450,7658;;;1,543885045;5,035605829;2834
1978;2A004;;3;2220;;;244862;438865,8098;;;1,792298559;4,527020281;18815
1979;2A004;;3;2220;;;238876;487847,0692;;;2,04226071;4,416350829;19411
1980;2A004;;4;2329;;;218078;508259,3829;;;2,330631163;4,031836418;10258
1981;2A004;;4;2329;;;236927;610333,2993;;;2,576039452;4,380317625;2388
1982;2A004;;4;2329;;;255002;736182,8595;;;2,886968963;4,714489083;15922
1983;2A004;;4;2329;;;233546;724507,2467;;;3,10220362;4,317809536;63395
1984;2A004;;4;2329;;;197495;695747,5871;;;3,522861779;3,651296937;11679
1985;2A004;;4;2329;;;174577;683921,2022;;;3,917590531;3,227587864;8776
1986;2A004;;4;2329;;;166373;709414,3076;;;4,263999012;2,822320989;1436
1987;2A004;;4;2329;;;124465;603201,4827;;;4,846354258;2,111401381;1792
1988;2A004;;4;2329;;;102038;516134,5698;;;5,058258392;1,730953875;47349
1989;2A004;;4;2329;;;98820;556350,8889;;;5,629942207;1,676364315;230
1990;2A004;;4;2329;;;87471;512058,9307;;;5,854042262;1,483841965;19340
1991;2A004;;4;2329;;;76895;445809,2299;;;5,797636126;1,304432645;1295
1992;2A004;;;;;;;;;;;;74285
1993;2A004;;;;;;;;;;;;12008
1994;2A004;;;;;;;;;;;;4542
1995;2A004;;;;;;;;;;;;1325
1996;2A004;3;4;2129;;2808;92402;545552,5286;7,156549224;;5,90412035;1,747390318;17414
1997;2A004;3;4;2129;;2994;103447;608074,9195;7,638399707;;5,878130053;1,956259455;4925
1998;2A004;3;4;2129;;2712;113805;673288,0356;8,662692761;;5,916155139;2,152136914;4098
1999;2A004;4;5;2195;;3265;91192;587501,1624;6,182889927;;6,442463839;1,724508321;5003
2000;2A004;4;5;2195;;4134;95431;611414,3153;5,763308828;;6,406873189;1,804670953;3694
2001;2A004;4;5;2195;;4447;103244;659303,8873;6,168737471;;6,385880897;1,952420575;335
2002;2A004;4;5;2195;;4189;94878;618338,39;6,29127326;;6,517194608;1,794213313;2758
2003;2A004;4;5;2195;;4727;82517;560887,54;4,982895583;;6,797236206;1,283192859;2536
2004;2A004;5;6;2645;;4787;92556;603785,3;5,482701141;;6,523459311;1,439305819;12067
2005;2A004;4;5;2051;;4363;61710;407132;4,092289043;;6,597504456;0,959630517;2071
2006;2A004;4;5;2051;;3800;56142;426276,8;4,143238474;;7,592832461;0,847490377;43732
2007;2A004;4;5;2051;;1709;46328;414993,3;4,232483268;;8,957721033;0,686269572;14602
2008;2A004;4;4;2279;;1410;50057;457020,5;4,654161847;;9,130001798;0,731164734;1224
2009;2A004;4;4;2279;;1345;54921;476348,5;5,425228632;;8,673339888;0,802211446;33330
2010;2A004;4;4;2279;;1297;64163;554189;6,72525132;;8,637205243;0,937206041;1700
2011;2A004;5;5;2574;;1366;62884;525414;6,379402172;;8,355289104;0,918524145;4914
2012;2A004;5;5;2574;;1402;65459;514220,5;6,800454617;;7,85561191;0,956136251;11831
2013;2A004;6;6;3006;;1451;62036;453898,5;6,350896339;;7,316695145;0,906137711;52645
2014;2A004;7;12;4153;;2256;101799;764617,44;8,86123329;;7,5110506;1,486941661;3867
2015;2A004;7;12;4153;;10566;338094;2260517,32;13,18623459;;6,686061628;4,938418393;18654
2016;2A004;7;12;4153;;10391;380992;2572383,76;17,35009725;;6,751805182;5,565014168;85199
2017;2A004;6;11;3053;;10165;383500;2545169,1;19,06824642;1;6,63668605;5,601647629;38801
2018;2A004;5;10;2625;;10301;357394;2338692,9;17,79972926;1;6,543738563;5,220326605;22154
2019;2A004;5;10;2625;;10360;362715;2333934;17,96985232;1;6,434622224;5,298048552;35019
2020;2A004;3;8;1761;;5052;96619;612815;9,927408541;1;6,342593072;1,41127925;2711
1960;80021;;12;7637;;;1204151;343169,9029;;;0,284989094;11,42100671;2519
1961;80021;;12;7637;;;1175406;345787,4525;;;0,294185543;11,14836911;10388
1962;80021;;11;6488;;;976080;315678,9241;;;0,323415011;9,257822503;1199
1963;80021;;11;6488;;;857609;329645,3883;;;0,384377249;8,134161031;951
1964;80021;;13;8464;;;756723;314354,9044;;;0,415416083;7,177287946;15116
1965;80021;;12;8358;;;676031;308068,974;;;0,455702437;6,411948821;19768
1966;80021;;9;6861;;;674462;324574,0193;;;0,48123396;5,721209962;10979
1967;80021;;10;7711;;;641801;318684,1516;;;0,496546673;5,444158863;1475
1968;80021;;10;7711;;;649633;343788,9984;;;0,529204949;5,510594802;15049
1969;80021;;10;7711;;;623862;370092,5518;;;0,593228233;5,291989007;9220
1970;80021;;8;6116;;;715447;490709,6044;;;0,685878345;6,068870453;90739
1971;80021;;8;6116;;;715911;533011,6151;;;0,744522175;5,445183912;5623
1972;80021;;8;6046;;;714537;602866,4989;;;0,843716279;5,434733335;4576
1973;80021;;11;5819;;;650575;606724,2213;;;0,932596889;4,948241504;16246
1974;80021;;11;5819;;;723275;835191,0262;;;1,154735096;5,501194134;155114
1975;80021;;12;5735;;;824186;1107566,959;;;1,343831319;6,268718245;307
1976;80021;;12;5735;;;792967;1240950,245;;;1,564945635;6,031268064;15343
1977;80021;;12;5735;;;718727;1202154,105;;;1,672615756;5,46660227;6321
1978;80021;;12;5735;;;742081;1383158,957;;;1,863892159;5,650420309;5190
1979;80021;;14;5366;;;696949;1414772,615;;;2,029951424;5,30677215;69568
1980;80021;;16;5265;;;777131;1680561,836;;;2,16252065;5,917301191;30836
1981;80021;;15;4522;;;875978;2135504,157;;;2,437851358;6,669950964;689
1982;80021;;15;4462;;;944568;2574972,14;;;2,726084453;7,192215149;8659
1983;80021;;15;4395;;;931213;2692468,866;;;2,891356613;7,0905263;31938
1984;80021;;17;4354;;;883707;2742102,76;;;3,102954667;6,728801815;54840
1985;80021;;17;4354;;;800773;2602493,609;;;3,249976721;6,097318247;4545
1986;80021;;16;4108;;;729371;2828721,736;;;3,878302999;5,530901177;24271
1987;80021;;16;4108;;;536615;2221862,622;;;4,140515308;4,069211053;53871
1988;80021;;16;4108;;;509820;2178535,27;;;4,273145953;3,866021597;2055
1989;80021;;16;4107;;;542483;2345400,366;;;4,323454129;4,113708748;22864
1990;80021;;16;4107;;;552500;2532738,426;;;4,584141948;4,18966877;2815
1991;80021;;16;4107;;;539072;2582948,724;;;4,791472612;4,087842757;5670
1992;80021;3;14;2807;;21288;574680;2855780,638;13,64634343;;4,969340569;4,357862169;2123
1993;80021;4;15;3037;;21833;679670;3422185,296;15,42499122;;5,035068924;5,154012982;16839
1994;80021;4;15;3037;;22329;609068;3096006,293;13,55008377;;5,083186595;4,618630187;3485
1995;80021;4;15;3037;;21087;594496;3253810,082;13,88187785;;5,473224516;4,387391975;14974
1996;80021;4;15;3037;;21817;617944;3438583,017;13,83385999;;5,564554421;4,560438668;13059
1997;80021;4;15;3037;;21534;676921;3879997,469;15,47426971;;5,73183203;4,995690069;39603
1998;80021;4;15;3037;;20502;761553;4449071,357;18,74901676;;5,842103382;5,620275865;15423
1999;80021;4;15;3037;;20758;635531;3721412,227;15,19671432;;5,855595127;4,690231068;3950
2000;80021;5;16;3291;;20222;624808;3713554,547;15,1011508;;5,943513122;4,611095121;40776
2001;80021;4;14;2930;;16225;544359;3268644,743;16,12980553;;6,004575553;4,017379946;1999
2002;80021;4;14;2930;;20283;653734;4040257,93;15,93545028;2;6,18027811;4,82456956;17762
2003;80021;4;14;2930;;19680;572988;3690212,61;14,30324513;2;6,440296498;4,276093673;19749
2004;80021;4;14;2930;;20713;665079;4342980,16;15,67974957;2;6,530021486;4,963350199;8294
2005;80021;3;14;3124;1;20125;632383;4109652,07;14,01147536;2;6,498675755;4,719346557;1251
2006;80021;3;14;3124;1;22175;788422;5158339,26;16,11374795;2;6,542612028;5,940177959;11687
2007;80021;3;14;3124;1;22062;752783;4902617,85;15,45264462;2;6,512657499;5,672861137;6699
2008;80021;3;14;3124;1;22794;843909;5564926,58;16,65100698;2;6,594225894;6,351197375;9234
2009;80021;3;14;3124;1;22108;859262;5779491,8;17,5484759;2;6,726111244;6,466742929;3649
2010;80021;3;14;3124;1;21711;881002;6277116,78;18,54800797;2;7,124974495;6,630356578;23634
2011;80021;3;14;3124;1;26054;940451;6667461,41;16,36132347;2;7,089642533;7,077765402;50937
2012;80021;3;14;3124;1;26759;899910;6425232,52;15,46811719;2;7,139861231;6,772656803;11586
2013;80021;3;14;3124;1;25922;824714;5892710,98;14,53224652;2;7,145156964;6,20673721;5484
2014;80021;3;14;3124;1;26412;926071;6584926,21;15,92723908;2;7,110606217;6,969542574;160649
2015;80021;3;14;3124;1;26023;905544;6485002,73;15,87826565;2;7,161444093;6,815057874;2262
2016;80021;3;14;3124;1;25500;907129;6540700,53;16,17652697;2;7,210331199;6,826986468;5231
2017;80021;3;14;3124;1;25948;855974;6244906,46;15,19449275;2;7,29567307;6,441997682;4281
2018;80021;3;14;3124;1;26456;824772;5902224,66;14,23782498;2;7,15618942;6,207173713;6888
2019;80021;3;14;3111;1;24034;830454;6338957,25;15,58610179;2;7,633122665;6,24993603;12595
2020;80021;3;14;3111;1;11755;265173;1933297,93;10,15423603;2;7,290704295;1,995672592;172366
1960;49007;;15;9032;;;1430189;393486,4633;;;0,275128996;12,40697301;7454
1961;49007;;15;9033;;;1428506;400510,5518;;;0,280370227;12,39237289;3490
1962;49007;;15;9033;;;1359636;422132,091;;;0,310474341;11,79492162;12249
1963;49007;;15;9078;;;1302766;455562,0262;;;0,349688299;11,30157105;1677
1964;49007;;15;9081;;;1164069;416244,9673;;;0,357577573;10,09836649;693
1965;49007;;15;9081;;;1110297;432754,2811;;;0,389764433;9,631891249;14564
1966;49007;;13;7849;;;1007673;432441,6082;;;0,42914875;7,838336302;69093
1967;49007;;13;8263;;;926684;433887,4347;;;0,468215092;7,208351159;59572
1968;49007;;13;8263;;;928654;450783,3593;;;0,485415838;7,223675101;2495
1969;49007;;13;8260;;;855087;473693,7025;;;0,553971353;6,651423104;409
1970;49007;;11;7051;;;882918;521514,9774;;;0,590672041;6,867910732;13465
1971;49007;;11;6947;;;828166;540204,3122;;;0,652289894;6,019041943;15746
1972;49007;;13;7430;;;885717;654717,0013;;;0,739194349;6,437317848;3455
1973;49007;;12;6710;;;888127;752677,8432;;;0,847488978;6,454833528;4741
1974;49007;;12;6710;;;878445;862678,8036;;;0,982052153;6,384465554;232741
1975;49007;;17;7727;;;831760;977652,9559;;;1,175402707;6,045162838;8963
1976;49007;;19;7978;;;1020474;1530492,395;;;1,499785781;7,41672057;20771
1977;49007;;18;7488;;;976948;1632775,167;;;1,671302021;7,100377205;17459
1978;49007;;16;6013;;;1065577;1949477,024;;;1,829503662;7,832936385;9042
1979;49007;;15;4872;;;1045503;2080939,299;;;1,990371428;7,685374675;9615
1980;49007;;17;5401;;;1053830;2282117,273;;;2,165545935;7,746585513;286
1981;49007;;17;5401;;;1123123;2803113,466;;;2,495820552;8,255950543;6354
1982;49007;;21;5913;;;1236848;3365506,885;;;2,721035152;9,091930196;10821
1983;49007;;20;5689;;;1187326;3526843,985;;;2,970409125;8,727899557;3171
1984;49007;;21;5510;;;1143643;3579235,834;;;3,129679309;8,40679075;8253
1985;49007;;24;4946;;;1019502;3359443,988;;;3,295181361;7,494244255;513275
1986;49007;;23;4746;;;1108773;4413408,658;;;3,98044384;7,841171395;513275
1987;49007;;23;4749;;;911639;3830246,623;;;4,201494915;6,447052417;7341
1988;49007;;22;4626;;;851418;3778415,045;;;4,437790892;6,021173376;29897
1989;49007;;22;4626;;;814983;3808058,905;;;4,672562378;5,763507397;143325
1990;49007;;22;4626;;;807292;3870578,925;;;4,794521592;5,70911714;44799
1991;49007;;21;4147;;;768304;3875738,708;;;5,04453798;5,433396509;8132
1992;49007;4;21;4147;;27568;778308;4024756,501;14,93845221;;5,171161675;5,504144154;861635
1993;49007;4;21;4147;;27832;881663;4622899,977;16,49646856;;5,243386619;6,235064072;48363
1994;49007;4;21;4147;;30670;863752;4642440,739;14,45615365;;5,374738049;6,108398631;3908
1995;49007;4;21;4147;;31416;878311;4812379,775;14,36866123;;5,479129574;5,805901678;802
1996;49007;4;21;4171;;32747;927362;5157366,718;14,23373069;;5,561330654;6,130143642;2149
1997;49007;4;21;4171;;32236;948944;5382597,03;14,96481641;;5,672196705;6,272807197;53720
