annee;numDepartement;nbHabitantsDepartement;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationDepartement
1966;1;339262;;35;12962;;;802733;313857,7681;;;;;;;;;339262
2002;1;515270;20;35;6288;;26375;765417;4067325,54;16,31378465;10;16;2880;12208;349090;1773873;17,82521091;515270
1967;1;339262;;34;12754;;;731594;314581,7485;;;;;;;;;339262
2003;1;566740;20;35;6288;;26728;662587;3549898,03;13,7387541;12;18;3416;13605;347490;1783400;14,59653185;566740
1968;1;339262;;33;12256;;;711298;331288,0265;;;;;;;;;339262
2004;1;566740;20;35;6288;;27906;789976;4241187,9;15,92913216;12;18;3416;14279;413324;2141339;16,57184418;566740
1969;1;339262;;32;11677;;;617923;326184,3383;;;;;;;;;339262
2005;1;631877;20;37;6330;;29328;707405;3824315,2;14,1206861;11;17;3025;12864;307446;1559960;14,50122586;631877
1970;1;339262;;28;10703;;;632750;354021,5289;;;;;;;;;339262
2006;1;631877;20;37;6162;;29233;776385;4288155,86;15,33688765;11;19;3482;15500;449286;2467956;16,6412885;631877
1971;1;339262;;27;10313;;;598529;366313,4931;;;;;;;;;339262
2007;1;631877;20;37;6192;;28062;729508;4055607,3;15,02373291;12;20;3592;15440;433161;2392292;16,21645602;631877
1972;1;376477;;26;9913;;;614866;421091,0166;;;;;;;;;376477
2008;1;631877;22;47;8155;1;30433;789451;4488650,66;14,8111633;11;19;3382;15337;424017;2360594;16,30358049;631877
1973;1;376477;;25;9631;;;557997;465940,7553;;;;;;;;;376477
2009;1;631877;21;42;6972;1;34919;934311;5722660,65;14,83871367;12;23;3781;19214;462559;2648185;14,6469908;631877
1974;1;376477;;25;9261;;;533322;474732,9474;;;;;;;;;376477
2010;1;631877;20;41;6947;1;35017;996146;6316376,12;15,77685921;12;23;3781;19062;469859;2796397;14,97861241;631877
1975;1;376477;;24;8933;;;537169;537880,8367;;;;;;;;;376477
2011;1;631877;18;39;6756;1;34736;1057867;6738018,12;16,83340945;12;23;3816;19046;527018;3179008;16,77169569;631877
1976;1;376477;;23;8726;;;519426;627264,4396;;;;;;;;;376477
2012;1;631877;17;38;6546;1;35736;997657;6407308,07;15,3582071;12;23;3816;20723;499781;3070250;14,63489269;631877
1977;1;376477;;22;8289;;;489714;651768,0275;;;;;;;;;376477
2013;1;631877;18;39;6727;1;35671;953602;6114998,27;14,65294595;12;23;3816;20199;466583;2831850;13,7261299;631877
1978;1;376477;;24;8667;;;502166;748587,4836;;;;;;;;;376477
2014;1;631877;18;38;6640;1;36965;1072531;6578448,09;15,69706262;12;22;3729;20279;519661;3043675;14,56632703;631877
1979;1;418516;;21;7957;;;535936;864818,1207;;;;;;;;;418516
2015;1;631877;18;38;6838;1;37828;1099456;6759192,69;15,94007048;13;24;4102;22666;577090;3373425;15,0864486;631877
1980;1;418516;;19;7397;;;449383;919679,9485;;;;;;;;;418516
2016;1;631877;18;38;6464;1;38282;1155275;7110338,83;16,91745151;12;22;3536;21536;582944;3430316;16,32009496;631877
1981;1;418516;;26;8101;;;573999;1411741,623;;;;;;;;;418516
2017;1;631877;19;39;7038;1;37959;1103360;6835074,15;15,86852549;14;24;4150;22432;588720;3451005;15,54931292;631877
1982;1;418516;;28;8399;;;848496;2442498,06;;;;;;;;;418516
2018;1;631877;19;39;7038;1;39848;1077027;6654475,02;14,81065323;13;23;3973;22899;558811;3283148;14,40520784;631877
1983;1;418516;;30;7866;;;872823;2691398,979;;;;;;;;;418516
2019;1;631877;21;41;7417;1;39816;1129642;7046299,92;15,55568469;13;23;4013;22868;595614;3538835;15,29942605;631877
1984;1;418516;;36;8386;;;870330;2789884,855;;;;;;;;;418516
2020;1;631877;21;41;7422;1;19038;324169;1970670,76;9,214645012;13;23;4018;10086;167300;961631;9,698904946;631877
1985;1;418516;;37;8475;;;816541;2811231,376;;;;;;;;;418516
2002;2;535842;15;38;7403;;28187;728628;3939690,14;14,07741508;8;31;5645;26956;688026;3802466;13,99005198;535842
1986;1;418516;;36;8036;;;832789;3084313,685;;;;;;;;;418516
2003;2;537061;15;38;7403;;29828;664009;3637597,4;12,03578568;8;31;5645;28500;627467;3511064;11,99976975;537061
1987;1;471019;;37;8168;;;660777,11;2497029,798;;;;;;;;;471019
2004;2;537061;15;39;7435;;32060;741963;4061781,31;12,6950746;7;27;5055;26216;609717;3468922;12,30635739;537061
1988;1;471019;;39;8389;;;599622,8408;2438592,893;;;;;;;;;471019
2005;2;538659;15;39;7015;;30745;609551;3402554,41;11,57000902;6;25;4472;25439;496572;2881528;10,81511963;538659
1989;1;471019;;39;8231;;;623480,1607;2610732,889;;;;;;;;;471019
2006;2;538659;15;38;6433;;31113;683614;3909530,58;12,57711975;5;24;4330;25325;564168;3387406;12,44569041;538659
1990;1;471019;;38;7518;;;627873,6077;2689734,299;;;;;;;;;471019
2007;2;538659;15;43;7162;1;39225;684105;3965050,59;9,868106458;5;29;5059;32715;554175;3376527;9,298746878;538659
1991;1;471019;;37;7331;;;623640,9275;2821877,943;;;;;;;;;471019
2008;2;538659;15;44;7744;1;45519;822323;4799884,78;10,48952824;6;32;5439;41233;723502;4361521;10,18144595;538659
1992;1;471019;20;36;6901;;21626;600483;2785150,77;14,7804069;;;;;;;;471019
2009;2;538659;15;43;7162;1;46081;834189;4985702,75;10,64538803;5;29;5059;38641;685760;4275649;10,14621132;538659
1993;1;471019;19;35;6761;;20270;704773;3135869,55;18,15459976;;;;;;;;471019
2010;2;538659;15;43;7162;1;47434;852679;5229533,7;10,62998187;6;32;5439;43030;762135;4842671;10,39656696;538659
1994;1;471019;17;33;6299;;20472;560305;2731117,89;14,81464932;;;;;;;;471019
2011;2;538659;15;43;7162;1;48859;994278;6204018,55;12,05958437;6;32;5439;44094;884373;5687689;11,80201476;538659
1995;1;515270;18;34;6296;;21408;612447;3056042,43;15,67440183;;;;;;;;515270
2012;2;538659;15;43;7162;1;49117;907405;5703420,69;10,86054179;6;32;5439;45021;840104;5436704;11,03436609;538659
1996;1;515270;19;35;6477;;23064;632948;3178206,45;15,24082971;;;;;;;;515270
2013;2;538659;15;43;7162;1;50685;826990;5175547,02;9,654116941;6;32;5439;45454;748310;4819317;9,681458024;538659
1997;1;515270;19;35;6468;;23781;681589;3434393,05;15,96322123;;;;;;;;515270
2014;2;538659;15;43;7162;1;51260;966123;5934177,9;11,14107055;7;24;3848;27542;528946;3109220;11,73310299;538659
1998;1;515270;19;35;6432;;24782;786638;4133768,4;17,84621597;;;;;;;;515270
2015;2;538659;15;43;7041;1;51350;977986;6273182,61;11,44121075;7;34;5575;47375;908178;5945972;11,55156898;538659
1999;1;515270;21;39;6890;;23855;657029;3388282,41;15,7641471;;;;;;;;515270
2016;2;538659;15;43;7122;1;52527;1026679;6588537,25;11,7225047;7;34;5656;48245;944236;6193476;11,78271319;538659
2000;1;515270;21;36;6523;;25267;688955;3538847,22;15,69142315;;;;;;;;515270
2017;2;538659;15;43;6774;1;52596;1002796;6518186,34;11,90948188;7;34;5308;48986;951722;6340608;12,50776214;538659
2001;1;515270;21;36;6470;;26567;788686;4130702,23;16,96403548;;;;;;;;515270
2018;2;538659;15;43;6774;1;56309;950480;6055898,81;10,48679734;5;25;3942;40537;661659;4298553;10,20183681;538659
2019;2;538659;15;44;7356;1;55540;971011;6172368,96;10,85642711;3;14;2144;24435;397610;2676929;9,830910612;538659
2020;2;538659;15;43;6774;1;27844;266015;1673291,71;5,920666211;5;23;3506;18786;166048;1085766;5,495861423;538659
2002;3;344721;11;28;3956;;17179;497270;2788412,72;20,52746338;4;12;1562;8743;250626;1401432;21,85231945;344721
2003;3;343309;12;29;4085;;16778;449155;2526720,32;19,42542217;4;12;1519;8653;217560;1220005;19,64575159;343309
2004;3;343309;13;36;5110;;19150;548907;3099808,19;20,8301678;4;12;1519;8685;251652;1430083;22,54118111;343309
2005;3;341613;10;27;3747;;21474;501055;2900232,88;16,82696425;3;10;1324;7677;181159;1037995;18,00971472;341613
2006;3;341613;10;27;3747;;21713;612223;3586284,78;20,08473195;4;11;1455;8584;247318;1437712;22,12853299;341613
2007;3;341613;10;27;3747;;21049;563547;3374102,94;19,06878979;5;18;2467;17430;464358;2823499;19,36316771;341613
2008;3;341613;10;27;3747;;21802;562993;3426585,35;18,24634558;3;6;793;3479;91903;571383;19,95488043;341613
