nomJour;annee;pourcentageEntrees;pourcentageRecettes;pourcentageSeances
Lundi;1980;5,5;;
Mardi;1980;11,2;;
Mercredi;1980;11,4;;
Jeudi;1980;9,7;;
Vendredi;1980;17,9;;
Samedi;1980;25;;
Dimanche;1980;19,3;;
Lundi;1985;19;;
Mardi;1985;7,8;;
Mercredi;1985;11,4;;
Jeudi;1985;8,6;;
Vendredi;1985;13,8;;
Samedi;1985;25,2;;
Dimanche;1985;14,2;;
Lundi;1986;16,3;;
Mardi;1986;10;;
Mercredi;1986;12,5;;
Jeudi;1986;10,2;;
Vendredi;1986;12,5;;
Samedi;1986;24,3;;
Dimanche;1986;14,2;;
Lundi;1987;15,7;;
Mardi;1987;7,7;;
Mercredi;1987;11,3;;
Jeudi;1987;9,2;;
Vendredi;1987;14,9;;
Samedi;1987;23,2;;
Dimanche;1987;18;;
Lundi;1988;13,6;;
Mardi;1988;8,6;;
Mercredi;1988;13,6;;
Jeudi;1988;10;;
Vendredi;1988;13,7;;
Samedi;1988;26,5;;
Dimanche;1988;14;;
Lundi;1989;15,2;;
Mardi;1989;9,1;;
Mercredi;1989;13;;
Jeudi;1989;9,3;;
Vendredi;1989;11,8;;
Samedi;1989;27;;
Dimanche;1989;14,6;;
Lundi;1990;16,5;;
Mardi;1990;8,3;;
Mercredi;1990;10,8;;
Jeudi;1990;10;;
Vendredi;1990;14,7;;
Samedi;1990;23,7;;
Dimanche;1990;16;;
Lundi;1991;14,7;;
Mardi;1991;9,3;;
Mercredi;1991;11,3;;
Jeudi;1991;9,4;;
Vendredi;1991;15,7;;
Samedi;1991;23,9;;
Dimanche;1991;15,7;;
Lundi;1992;14,4;;
Mardi;1992;8,7;;
Mercredi;1992;12,6;;
Jeudi;1992;10,7;;
Vendredi;1992;14,9;;
Samedi;1992;24,4;;
Dimanche;1992;14,3;;
Lundi;1993;10,1;;
Mardi;1993;11,2;;
Mercredi;1993;14,5;;
Jeudi;1993;9,5;;
Vendredi;1993;13,3;;
Samedi;1993;23,2;;
Dimanche;1993;18,2;;
Lundi;1994;9,5;;
Mardi;1994;11,8;;
Mercredi;1994;13,5;;
Jeudi;1994;9,1;;
Vendredi;1994;14;;
Samedi;1994;25,6;;
Dimanche;1994;16,5;;
Lundi;1995;9;;
Mardi;1995;11,55;;
Mercredi;1995;14,15;;
Jeudi;1995;11,7;;
Vendredi;1995;13,1;;
Samedi;1995;24,4;;
Dimanche;1995;16,1;;
Lundi;1996;12;;
Mardi;1996;11;;
Mercredi;1996;13,3;;
Jeudi;1996;11,3;;
Vendredi;1996;12,9;;
Samedi;1996;23,3;;
Dimanche;1996;16,2;;
Lundi;1997;9,8;;
Mardi;1997;11,7;;
Mercredi;1997;12,5;;
Jeudi;1997;9;;
Vendredi;1997;15,2;;
Samedi;1997;25,8;;
Dimanche;1997;16;;
Lundi;1998;12,7;;
Mardi;1998;10,2;;
Mercredi;1998;13;;
Jeudi;1998;12,1;;
Vendredi;1998;15;;
Samedi;1998;20,1;;
Dimanche;1998;16,9;;
Lundi;1999;11,7;;
Mardi;1999;10,6;;
Mercredi;1999;12,4;;
Jeudi;1999;9,5;;
Vendredi;1999;14,2;;
Samedi;1999;22,3;;
Dimanche;1999;19,3;;
Lundi;2000;10,8;;
Mardi;2000;9,8;;
Mercredi;2000;15,5;;
Jeudi;2000;10,5;;
Vendredi;2000;12,8;;
Samedi;2000;23,3;;
Dimanche;2000;17,3;;
Lundi;2001;8,9;;
Mardi;2001;9,6;;
Mercredi;2001;13,3;;
Jeudi;2001;11,4;;
Vendredi;2001;15,8;;
Samedi;2001;24,6;;
Dimanche;2001;16,4;;
Lundi;2002;9,2;;
Mardi;2002;11,2;;
Mercredi;2002;13,9;;
Jeudi;2002;10,3;;
Vendredi;2002;14,6;;
Samedi;2002;20,5;;
Dimanche;2002;20,3;;
Lundi;2003;10,3;;
Mardi;2003;9,8;;
Mercredi;2003;14,3;;
Jeudi;2003;8,9;;
Vendredi;2003;14,2;;
Samedi;2003;23,3;;
Dimanche;2003;19,2;;
Lundi;2004;9,8;;
Mardi;2004;9,3;;
Mercredi;2004;14,3;;
