nomMois;annee;nbEntrees;recettes;nbSeances
janvier;1980;14492080;33856960,14;301936
février;1980;15391220;35807133,7;286448
mars;1980;15768690;36863590,14;302696
avril;1980;14597880;34356413,61;302721
mai;1980;13396210;31719899,32;874829
juin;1980;11559150;27388990,44;281828
juillet;1980;12895990;30901293,83;293609
août;1980;13378810;32690892,85;290357
septembre;1980;13777470;35061993,39;287557
octobre;1980;15383230;39859823,13;301428
novembre;1980;15723610;41225202,26;301513
décembre;1980;19062760;50990354,55;316722
janvier;1981;16067760;42637169,81;318687
février;1981;15842730;41595607,64;290497
mars;1981;15317260;39998932,86;318333
avril;1981;14742860;39547988,66;313932
mai;1981;13668160;37424785,47;314481
juin;1981;11926230;33602202,58;292652
juillet;1981;13516130;38077602,65;302348
août;1981;14595630;40647496,71;299412
septembre;1981;16274510;47838532,1;297156
octobre;1981;17979390;52673620,37;314757
novembre;1981;18211660;53481767,86;315097
décembre;1981;21088810;61792297,36;337699
janvier;1982;19525820;57662590,69;335073
février;1982;18081640;54602115,69;303302
mars;1982;18059450;54491056,58;331579
avril;1982;16497530;51222991,75;322572
mai;1982;13964070;43673472,5;324044
juin;1982;11686800;36480729,68;298018
juillet;1982;12805950;40069943,61;312378
août;1982;15971960;49780732,58;317860
septembre;1982;13829580;43830677,93;314376
octobre;1982;20598570;65939840,57;336834
novembre;1982;19135590;62223621,37;328896
décembre;1982;21777280;70734133,49;347872
janvier;1983;18521910;59942633,43;344064
février;1983;17257520;55779296,51;317419
mars;1983;19126320;63789272,77;345959
avril;1983;18428750;62213620,71;334172
mai;1983;15795400;53402951,72;333414
juin;1983;11327450;37450701,8;308634
juillet;1983;11306960;37729851,19;320442
août;1983;14325470;48292281,35;327377
septembre;1983;14365510;50104046,45;329974
octobre;1983;19495520;67920717,36;355068
novembre;1983;18878640;65921760,12;350356
décembre;1983;20038540;68790652,44;370171
janvier;1984;16792580;57818271,62;367153
février;1984;16540310;57179281,57;351965
mars;1984;17865650;62697188,99;370666
avril;1984;16738940;59639549,54;368428
mai;1984;14652540;52823584,47;356158
juin;1984;10691210;38727142,18;330693
juillet;1984;11388030;40314075,47;335121
août;1984;13651250;48579830,69;347834
septembre;1984;15242790;56001216,54;350975
octobre;1984;18739480;68015571,14;370860
novembre;1984;17954220;65325135,64;369703
décembre;1984;20610100;75490344,64;401232
janvier;1985;13523540;50891277,93;378915
février;1985;14972470;55662368,11;350901
mars;1985;17482810;65132668,76;386388
avril;1985;15412100;58193966,98;376684
mai;1985;12289900;47218643,91;374216
juin;1985;10756340;40383775,16;345797
juillet;1985;10924590;41135409,79;346646
août;1985;13089900;49748291,43;349345
septembre;1985;14167320;53894858,96;355394
octobre;1985;17729010;69220558,66;378713
novembre;1985;16130340;63440560,89;374375
décembre;1985;18600470;71004456,08;401304
janvier;1986;15395920;60315035,89;389871
février;1986;15534380;60104168,41;360845
