idRegion;nomRegion
1;Ile-de-France
2;Auvergne
3;Rhône-Alpes
4;Bourgogne
5;Bretagne
6;Languedoc-Roussillon
7;Provence-Alpes-Côte-d'Azur
8;Midi-Pyrénées
9;Picardie
10;Aquitaine
11;Centre
12;Poitou-Charentes
13;Nord-Pas-de-Calais
14;Lorraine
15;Alsace
16;Champagne-Ardenne
17;Basse-Normandie
18;Pays de la Loire
19;Limousin
20;Haute-Normandie
21;Franche-Comté
22;Corse
23;Auvergne - Rhône-Alpes
24;Bourgogne - Franche-Comté
25;Occitanie
26;Hauts-de-France
27;Nouvelle Aquitaine
28;Centre - Val-de-Loire
29;Grand-Est
30;Normandie
