annee;region;categorie;pourcentage
2016;Auvergne - Rhône-Alpes;hommes;49,75238385
2017;Auvergne - Rhône-Alpes;hommes;50,94974514
2018;Auvergne - Rhône-Alpes;hommes;52,14369543
2019;Auvergne - Rhône-Alpes;hommes;49,19127597
2020;Auvergne - Rhône-Alpes;hommes;51,37446103
2016;Bourgogne - Franche-Comté;hommes;53,58945722
2017;Bourgogne - Franche-Comté;hommes;51,69201664
2018;Bourgogne - Franche-Comté;hommes;50,08987667
2019;Bourgogne - Franche-Comté;hommes;49,48350476
2020;Bourgogne - Franche-Comté;hommes;47,52702594
2016;Bretagne;hommes;50,24554618
2017;Bretagne;hommes;50,91953995
2018;Bretagne;hommes;51,41882786
2019;Bretagne;hommes;48,55287666
2020;Bretagne;hommes;51,31398916
2016;Centre - Val-de-Loire;hommes;53,51906991
2017;Centre - Val-de-Loire;hommes;53,70206822
2018;Centre - Val-de-Loire;hommes;50,90623084
2019;Centre - Val-de-Loire;hommes;47,16316546
2020;Centre - Val-de-Loire;hommes;48,0147668
2016;Corse;hommes;
2017;Corse;hommes;
2018;Corse;hommes;
2019;Corse;hommes;
2020;Corse;hommes;
2016;Grand-Est;hommes;56,94085591
2017;Grand-Est;hommes;51,89381897
2018;Grand-Est;hommes;52,74930661
2019;Grand-Est;hommes;51,48689718
2020;Grand-Est;hommes;54,82162598
2016;Hauts-de-France;hommes;51,91538279
2017;Hauts-de-France;hommes;52,12453337
2018;Hauts-de-France;hommes;50,85083466
2019;Hauts-de-France;hommes;48,36440577
2020;Hauts-de-France;hommes;49,56240271
2016;Ile-de-France;hommes;51,75104751
2017;Ile-de-France;hommes;52,76228462
2018;Ile-de-France;hommes;53,52067668
2019;Ile-de-France;hommes;49,80442025
2020;Ile-de-France;hommes;52,55758789
2016;Normandie;hommes;50,99286752
2017;Normandie;hommes;52,5650305
2018;Normandie;hommes;49,18544581
2019;Normandie;hommes;50,9917593
2020;Normandie;hommes;49,96359521
2016;Nouvelle Aquitaine;hommes;51,52360998
2017;Nouvelle Aquitaine;hommes;51,98566414
2018;Nouvelle Aquitaine;hommes;51,46449391
2019;Nouvelle Aquitaine;hommes;49,85774257
2020;Nouvelle Aquitaine;hommes;53,48688016
2016;Occitanie;hommes;53,93466389
2017;Occitanie;hommes;51,49007702
2018;Occitanie;hommes;52,10983949
2019;Occitanie;hommes;52,66581792
2020;Occitanie;hommes;50,90213642
2016;Pays de la Loire;hommes;53,72825334
2017;Pays de la Loire;hommes;53,33981917
2018;Pays de la Loire;hommes;51,97139779
2019;Pays de la Loire;hommes;51,30139209
2020;Pays de la Loire;hommes;54,25140431
2016;Provence-Alpes-Côte-d'Azur;hommes;48,89453923
2017;Provence-Alpes-Côte-d'Azur;hommes;52,70522458
2018;Provence-Alpes-Côte-d'Azur;hommes;52,76125734
2019;Provence-Alpes-Côte-d'Azur;hommes;49,98897625
2020;Provence-Alpes-Côte-d'Azur;hommes;51,74008416
2016;Auvergne - Rhône-Alpes;femmes;50,24761615
2017;Auvergne - Rhône-Alpes;femmes;49,05025486
2018;Auvergne - Rhône-Alpes;femmes;47,85630457
2019;Auvergne - Rhône-Alpes;femmes;50,80872403
2020;Auvergne - Rhône-Alpes;femmes;48,62553897
2016;Bourgogne - Franche-Comté;femmes;46,41054278
2017;Bourgogne - Franche-Comté;femmes;48,30798336
2018;Bourgogne - Franche-Comté;femmes;49,91012333
2019;Bourgogne - Franche-Comté;femmes;50,51649524
2020;Bourgogne - Franche-Comté;femmes;52,47297406
2016;Bretagne;femmes;49,75445382
