"ANNEE";"TAUXOCCUPATION"
1960;
1961;
1962;
1963;
1964;
1965;
1966;
1967;
1968;
1969;
1970;
1971;
1972;
1973;
1974;
1975;
1976;
1977;
1978;
1979;
1980;
1981;
1982;
1983;
1984;
1985;
1986;
1987;
1988;
1989;
1990;
1991;
1992;17.36501930876676668444688290749834677338
1993;20.04869943461985484408580539877210933486
1994;18.62643205272498244500683051636693716369
1995;19.13827294835816373009461237804550995384
1996;18.85529945470323860928326812198136885693
1997;19.20077675841022069793047715104737194878
1998;21.29174273169181015321857938675371013538
1999;17.96549478147735723554533831386599656284
2000;17.99101621371879712592124479724808187614
2001;19.51521904580649530291255379329583018691
2002;18.92526912961009678181090603695866920846
2003;17.58219764731261822396414736909626975518
2004;19.919062904633253403839421418097897769
2005;18.2958266774103282341641465835401492392
2006;19.42884045391392392106880646248781345035
2007;18.19586065420255924223634949812807905103
2008;18.71603157952693257389256210375972513776
2009;18.97177797483949840522772310024197655084
2010;19.02587052280085734066571321178510398384
2011;19.734937301466334273199801349506171029
2012;18.35197422728657807333825931700083067241
2013;17.37761343378080022056700289494846208963
2014;18.28596941823708559457971755014700257127
2015;16.41997883331057848743468430411664645411
2016;17.13146778774982852132184027772846173681
2017;17.39056038024755417340185681390788273424
2018;16.12755608890873940869813844161222796308
2019;17.49678345918044815596397709741097596306
2020;10.9527585840896008794095876732451837149
